comp,perseus_n,perseus_text,pc_n,pc_text,pc_bounds,elision,speaker
0.925,1,Tertia iam gelidas Tithonia solverat umbras,1,Tertia iam gelidas Tithonia soluerat umbras,"['DI', 'CM', 'CM', 'DI', 'DI', None]",0,
0.9285714285714286,2,exueratque polum; Tiphyn placida alta vocabant.,2,Exueratque polum; Tiphyn placida alta uocabant.,"['CF', 'CM', 'CM', 'SY', 'CF', None]",1,
1.0,3,"it tectis Argoa manus, simul urbe profusi",3,"It tectis Argoa manus, simul urbe profusi","['CM', 'CM', 'CF', 'CM', 'DI', 'CF', None]",0,
1.0,4,Aenidae caris socium digressibus haerent.,4,Aenidae caris socium digressibus haerent.,"['CM', 'CM', 'CM', 'DI', None]",0,
1.0,5,dant Cererem lectumque pecus nec palmite Bacchum,5,Dant Cererem lectumque pecus nec palmite Bacchum,"['CM', 'CM', 'CF', 'CM', 'DI', 'DI', None]",0,
0.9210526315789473,6,"Bithyno Phrygiove satum, sed quem sua noto",6,"Bithyno Phrygioue satum, sed quem sua noto","['CM', 'CF', 'CM', 'DI', 'CM', 'DI', None]",0,
1.0,7,colle per angustae Lesbos freta suggerit Helles.,7,Colle per angustae Lesbos freta suggerit Helles.,"['CF', 'DI', 'CM', 'CM', 'DI', 'DI', None]",0,
1.0,8,ipse agit Aesonidae iunctos ad litora gressus,8,Ipse agit Aesonidae iunctos ad litora gressus,"['SY', 'DI', 'CM', 'CM', 'DI', 'DI', None]",1,
1.0,9,Cyzicus abscessu lacrimans,9,"Cyzicus abscessu lacrimans ...,","[None, None, None, None]",0,
0.918918918918919,10,muneribus primas coniunx Percosia vestes,25,Muneribus primas coniunx Percosia uestes,"['CM', 'CM', 'CM', 'DI', None]",0,
0.8421052631578947,11,quas dabat et picto Clite variaverat auro.,10,"Quas dabat et picto Clite uariauerat auro,","['CM', 'DI', 'CM', 'CM', 'CM', 'DI', None]",0,
1.0,12,tum galeam et patriae telum insuperabile dextrae,11,Tum galeam et patriae telum insuperabile dextrae,"['CM', 'SY', 'CM', 'CM', 'SY', 'DI', None]",2,
1.0,13,addidit: ipse ducis pateras et Thessala contra,12,Addidit. ipse ducis pateras et Thessala contra,"['DI', 'CF', 'CM', 'CM', 'DI', 'DI', None]",0,
0.8536585365853658,14,frena capit manibusque datis iunxere nepotes.,13,Frena capit manibusque datis iunxere penates.,"['CF', 'CM', 'CF', 'CM', 'CF', None]",0,
1.0,15,"Tu mihi nunc causas infandaque proelia, Clio,",14,"Tu mihi nunc causas infandaque proelia, Clio,","['CM', 'DI', 'CM', 'CM', 'DI', 'DI', None]",0,
0.8695652173913043,16,"pande virum; tibi enim superum data, virgo, facultas",15,"Pande uirum; tibi enim superum data, uirgo, facultas","['CF', 'CM', 'SY', 'CM', 'CM', 'DI', 'CF', None]",1,
0.925,17,nosse animos rerumque vias. cur talia passus,16,Nosse animos rerumque uias. cur talia passus,"['SY', 'CM', 'CF', 'CM', 'DI', 'DI', None]",1,
1.0,18,"arma, quid hospitiis iunctas concurrere dextras",17,"Arma, quid hospitiis iunctas concurrere dextras","['CF', 'DI', 'CM', 'CM', 'DI', None]",0,
